Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:33:040106:44,,,Ранее учтенный,-,,,ДРУГОЕ,0,нет,16:33:040106,0.0,0.0,,,,,да,нет,нет,нет,нет,нет,нет,нет,55.71642110319107,49.70808233777614
16:33:040412:52,5399.59,,Ранее учтенный,-,,,ДРУГОЕ,0,нет,16:33:040412,0.0,0.0,,,,,да,нет,нет,нет,нет,нет,нет,нет,55.69443217947408,49.696777448625156
16:33:040422:232,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Солнечная, з/у 61.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,298776.72,497.9612,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70141286240248,49.69260139202221
16:33:040412:539,507.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Еловая, з/у 11.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,205564.57,405.45,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69237166771704,49.69336366141139
16:33:040422:400,763.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 8-е марта, з/у 2.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,436093.79,571.5515,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70786441628186,49.68888645448998
16:33:040422:1490,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Малиновая, з/у 30.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,266095.85,532.1917,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70079799573764,49.68865080371213
16:33:040105:25,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Тукая, з/у 10.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040105,718977.42,332.55,,,,,нет,нет,нет,нет,да,да,нет,да,55.715465316783195,49.71835430668091
16:33:040422:229,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Солнечная, з/у 67.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,285086.58,475.1443,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70172769082228,49.69337601259973
16:33:040412:977,5918.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Татарстан Респ, Пестречинский муниципальный район, Конское сельское поселение, с Конь.",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,2232006.25,377.16,,,,,да,нет,нет,нет,нет,да,нет,да,55.69032180323999,49.6979806533693
16:33:040422:1095,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Высокая, з/у 57.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,262892.16,438.1536,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69958754221163,49.69435891568255
16:33:040422:763,934.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 2-я Строителей, з/у 61.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,375996.08,402.57,,,,,нет,нет,нет,нет,нет,да,нет,да,55.706966497022506,49.6966597988213
16:33:040412:579,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Каштановая, з/у 8.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,198171.6,396.34,,,,,нет,нет,нет,нет,нет,да,нет,да,55.690569075749956,49.695491117812914
16:33:040412:424,801.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Цветочная, з/у 38.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,402006.6,501.88,,,,,нет,нет,нет,нет,нет,да,нет,да,55.694770145316284,49.68643589099569
16:33:040422:1260,804.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Рафаэля Сафиуллина, з/у 39.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,408045.28,507.519,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70512817244374,49.689872426100294
16:33:040422:306,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 84.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,274322.09,391.8887,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70190009920209,49.69714913948694
16:33:040412:1136,1046.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Весенняя, з/у 12",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,378933.48,362.2691,,,,,нет,нет,нет,нет,нет,да,нет,да,55.685587853643625,49.70409724414963
16:33:040422:1208,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Ильдара Мархабина, з/у 50.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,340359.6,486.228,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70319390731148,49.692038537320094
16:33:040104:159,815.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Кави Шакирова, з/у 50в.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040104,246822.91,302.8502,,,,,нет,нет,нет,нет,да,да,нет,да,55.70677126431601,49.714236355462006
16:33:040422:1184,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Ильдара Мархабина, з/у 71.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,258675.42,431.1257,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70404850283795,49.695708839413534
16:33:040422:1614,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Алмазная, з/у 4.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,272195.5,544.39,,,,,нет,нет,нет,нет,нет,да,нет,да,55.699991601750334,49.68408560080913
16:33:040412:542,507.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Еловая, з/у 10.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,200077.51,394.63,,,,,нет,нет,нет,нет,нет,да,нет,да,55.692088091394005,49.69379012982993
16:33:040104:139,177.0,Земли населенных пунктов,Учтенный,"Республика Татарстан, Пестречинский муниципальный район, Конское сельское поселение, с Конь",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040104,53601.53,302.8335,,,,,да,нет,нет,нет,да,да,нет,да,55.7070044771066,49.71482191036374
16:33:040422:1595,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Малиновая, з/у 12.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,261921.6,523.84,,,,,нет,нет,нет,нет,нет,да,нет,да,55.7006635362856,49.68555535190903
16:33:040412:919,1108.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Яблоневая, з/у 13",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,453259.64,409.08,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69356803686578,49.692640684122274
16:33:040412:1128,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Зеленая, з/у 12",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,358195.6,358.1956,,,,,нет,нет,нет,нет,нет,да,нет,да,55.68622432837043,49.70340477375606
16:33:040422:1610,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Алмазная, з/у 1.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,265797.75,531.5955,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70037793840536,49.68368354483234
16:33:040422:378,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Благодатная, з/у 5.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,453944.24,567.4303,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70588296870278,49.683120081801434
16:33:040422:1061,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Высокая, з/у 29.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,297046.5,495.0775,,,,,нет,нет,нет,нет,нет,да,нет,да,55.697804881990336,49.68997358939579
16:33:040422:1212,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Ильдара Мархабина, з/у 54.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,340359.6,486.228,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70321946144263,49.69267314826324
16:33:040422:523,867.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Кедровая, з/у 55.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,508040.15,585.9748,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70347956280215,49.68230725215563
16:33:040422:777,679.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 3-я Строителей, з/у 37.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,311291.56,458.46,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70607681471999,49.69106515319528
16:33:040412:1102,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Раушании Юкачевой, з/у 19",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,355377.8,355.38,,,,,да,нет,нет,нет,нет,да,нет,да,55.68767655669124,49.70350371180204
16:33:040422:458,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 3-я Строителей, з/у 6.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,461243.68,576.5546,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70519988514849,49.68383344387628
16:33:040103:59,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Советская, з/у 89.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040103,535161.23,308.27,,,,,нет,нет,нет,нет,да,да,нет,да,55.71147985284381,49.71598628047239
16:33:040422:257,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 60.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,272550.18,454.2503,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70044213758624,49.69356191837174
16:33:040422:806,578.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 3-я Строителей, з/у 71.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,234497.26,405.7046,,,,,нет,нет,нет,нет,нет,да,нет,да,55.7063054729269,49.69699949307392
16:33:040422:530,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Благодатная, з/у 49.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,387329.95,553.3285,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70918891432446,49.68990707996611
16:33:040422:1582,498.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Малиновая, з/у 1.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,283617.57,569.51,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70097170104848,49.68393053765975
16:33:040422:379,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Благодатная, з/у 7.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,454656.16,568.3202,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70603914067374,49.68344066039599
16:33:040422:354,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Сосновая, з/у 12.",Частная,Магазины,ДРУГОЕ,0,нет,16:33:040422,679047.53,970.07,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.698589469727175,49.68483971030063
16:33:040412:1096,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Айдара Хафизова, з/у 12",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,359021.1,359.02,,,,,да,нет,нет,нет,нет,да,нет,да,55.68738947913253,49.70158999967662
16:33:040422:408,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 1-я Строителей, з/у 4.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,398766.9,569.67,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70701860265732,49.6870784765115
16:33:040422:581,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Абрикосовая, з/у 5.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,273866.82,456.4447,,,,,нет,нет,нет,нет,нет,да,нет,да,55.7103115357462,49.69402332127988
16:33:040412:496,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Хвойная, з/у 5.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,222510.8,445.0216,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69346193137036,49.69061490065147
16:33:040422:294,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 79.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,274928.78,392.7554,,,,,нет,нет,нет,нет,нет,да,нет,да,55.701982545221696,49.6960859658114
16:33:040422:1443,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 25.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,259289.85,518.58,,,,,нет,нет,нет,нет,нет,да,нет,да,55.702341653368585,49.68788571096779
16:33:040103:27,1871.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Советская, з/у 24.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040103,613398.74,327.8454,,,,,нет,нет,нет,нет,да,да,нет,да,55.71415863567766,49.714039550808415
16:33:040422:446,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 3-я Строителей, з/у 11.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,402060.47,574.37,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70590553325335,49.68655516245941
16:33:040422:706,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 1-я Строителей, з/у 27.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,259009.62,431.6827,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70751015870648,49.69275529359715
16:33:040422:639,496.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Тенистая, з/у 27.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,178491.06,359.86,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70900811052572,49.69601014428863
16:33:040105:82,2733.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Пестречинский муниципальный район, Конское сельское поселение, с Конь, ул. Пионерская.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040105,898672.17,328.8226,,,,,да,нет,нет,нет,да,да,нет,да,55.714234343747854,49.72205399214455
16:33:040422:1564,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 6.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,295816.55,591.6331,,,,,нет,нет,нет,нет,нет,да,нет,да,55.701817865995494,49.684482230949435
16:33:040412:1081,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Динара Хаметова, з/у 14",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,360176.3,360.18,,,,,да,нет,нет,нет,нет,да,нет,да,55.688033734168,49.700920968033486
16:33:040422:67,701.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Высокая, з/у 11.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,362278.48,516.8024,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69676273474033,49.68741069191074
16:33:040412:369,829.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Цветочная, з/у 84.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,356239.29,429.7217,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69136880814723,49.69134062001031
16:33:040422:457,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 3-я Строителей, з/у 4.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,460256.64,575.3208,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70518525979283,49.68347077556861
